Users,data,tweet
@AFP,2020-04-08 14:11:56+00:00,#BREAKING Syria regime responsible for 2017 chemical warfare attacks: OPCW watchdog 
@AFP,2020-04-08 13:47:52+00:00,#BREAKING COVID-19 pandemic 'may well' cause deepest economic recession 'of our lifetimes': WTO chief 
@AFP,2020-04-08 13:36:01+00:00,"RT @AFPphoto: #Coronavirus #COVID19 #Tunisia  Portraits of medical staffers of SAMU Tunisia (Urgent Medical Aid Service), posing for a pict…"
@AFP,2020-04-08 13:15:11+00:00,#BREAKING Global trade will plunge by up to a third in 2020 due to #coronavirus pandemic: World Trade Organization (WTO) 
@AFP,2020-04-08 12:55:08+00:00,#BREAKING French finance minister says failure to agree eurozone #coronavirus rescue package with peers 'unthinkable' 
@AFP,2020-04-08 12:41:42+00:00,RT @AFPFactCheck: 🇱🇰 🕌Misleading claim circulates that Muslims ignored COVID-19 curfew at Sri Lankan mosque   #Coron…
@AFP,2020-04-08 12:14:25+00:00,RT @AFP_Sport: Ole Gunnar Solskjaer is looking at transfer targets during the lockdown and believes Manchester United are well-placed to ex…
@AFP,2020-04-08 11:59:00+00:00,"VIDEO: The ""Super Pink Moon"" seen from Donja Jablanica, in Bosnia, as the astronomical phenomenon sees the Moon reach its closest point to the Earth in 2020 (at 356,907 km) "
@AFP,2020-04-08 11:50:00+00:00,Belgium's gin and whisky drinkers have been shut up at home for three weeks to avoid the epidemic but one Waterloo distillery is taking the battle to the coronavirus 
@AFP,2020-04-08 11:47:05+00:00,"RT @EUDataNewsHub: As the #coronavirus death toll spirals, the scale of the pandemic can obscure individual tragedies. Here are the cases o…"
@AFP,2020-04-08 11:40:00+00:00,VIDEO: Japan's sushi industry is dominated by men -- but a growing number of women in the country are training and working as sushi chefs in some of the most revered restaurants and institutions 
@AFP,2020-04-08 11:30:00+00:00,"A three-man space crew finished preparations on Wednesday for a mission to the International Space Station, which is going ahead despite the #coronavirus pandemic "
@AFP,2020-04-08 11:20:00+00:00,"VIDEO: India's first drive-through testing centre has opened in New Delhi, requiring a doctor's prescription and costing roughly $60. India has so far recorded over 5,000 coronavirus cases, but experts caution the real number is likely to be far higher "
@AFP,2020-04-08 11:15:10+00:00,RT @AFPAfrica: #BREAKING: Ethiopia has declared a state of emergency to fight the coronavirus pandemic -- a move that gives the Council of…
@AFP,2020-04-08 11:10:00+00:00,"#UPDATE The Afghan government will release 100 Taliban prisoners on Wednesday, an official told AFP, a day after the insurgents said they were walking out of talks with Kabul "
@AFP,2020-04-08 11:00:00+00:00,"VIDEO: Myanmar's military has joined coronavirus relief efforts by disinfecting streets in Yangon. The southeast Asian country has reported just a handful of cases of COVID-19, but experts say the real figure may be many times higher "
@AFP,2020-04-08 10:50:00+00:00,A Chilean man accused of murdering a Japanese student in a French city in 2016 has appealed a court decision to extradite him to face trial in France 
@AFP,2020-04-08 10:40:00+00:00,"VIDEO: A mariachi band plays a ""health serenade"" outside Mexico's National Institute for Respiratory Illnesses to cheer up COVID-19 patients and pay homage to healthcare professionals "
@AFP,2020-04-08 10:32:10+00:00,"Doctors, researchers, even an army officer: the #coronavirus pandemic has brought a diverse cast of experts into the media spotlight to guide the public through the crisis "
@AFP,2020-04-08 10:30:05+00:00,"#BREAKING The World Health Organization's European office says that despite seeing ""positive signs"" from some countries, it is too early to scale back measures aimed at containing the spread of the new #coronavirus "
@AFP,2020-04-08 10:20:00+00:00,"VIDEO: In Burkina Faso, the World Food Programme is handing out gloves and providing washing stations at their food distribution points for people displaced from their homes by conflict, as measures to prevent the spread of COVID-19 "
@AFP,2020-04-08 10:00:00+00:00,"VIDEO: Every afternoon for 45 minutes, dozens of children in France aged 5 to 12 turn on their computers to listen to professional actors read them stories online. French children read them "
@AFP,2020-04-08 09:58:12+00:00,"RT @AFPphoto: #Coronavirus #COVID19 #Kenya ` Volunteers from Sonko Rescue Team, an NGO privately funded by Nairobi Governor Mike Sonko, fum…"
@AFP,2020-04-08 09:55:56+00:00,RT @AFPFactCheck: ⚠️ Fake accounts are impersonating health authorities online ⚠️  @SegunAndrews found a string of accounts pretending to b…
